userId,movieId,rating,movie_idx
541,8360,4.5,6130
327,5299,4.0,4368
293,135,3.0,126
176,736,4.0,660
198,1242,4.0,1065
67,2140,2.5,1820
198,64614,3.5,9575
375,539,4.0,513
601,144,3.0,132
447,83374,3.5,7566
602,3608,4.0,3049
353,1584,4.0,1349
473,2801,4.5,7101
297,3471,2.5,2941
248,6188,4.5,4960
479,51662,4.0,7693
18,3550,3.0,3002
231,50923,2.0,7599
563,88812,3.5,8224
413,7451,4.0,5799
90,708,2.5,637
333,1136,4.0,982
413,33794,4.5,888
92,648,4.0,594
402,61697,3.0,9183
533,36289,4.0,2979
317,105213,3.5,5430
479,5673,3.5,4653
104,102407,4.5,3472
390,296,5.0,280
201,356,5.0,340
65,8636,5.0,6259
41,2028,5.0,1714
79,51662,4.5,7693
231,36509,2.0,3172
201,523,3.0,498
327,1089,5.0,943
609,3300,4.0,2807
306,38038,4.0,4345
468,2313,4.0,1961
231,33646,3.5,761
447,92048,2.5,8697
251,143355,4.0,6876
447,143257,2.5,6863
609,48082,4.0,7263
473,1083,2.0,937
216,3274,3.0,2790
379,76251,4.0,6654
451,924,3.0,805
488,551,4.5,525
413,4898,2.5,4094
104,48394,3.5,7302
58,1722,3.0,1472
198,1721,3.0,1471
595,66097,4.0,532
482,91128,4.0,8470
541,8958,5.0,6414
447,127132,2.0,9165
602,32,3.0,31
513,165103,3.5,1092
476,27660,4.5,8956
96,3717,4.0,3141
168,2054,3.0,1737
470,2324,5.0,1970
20,122922,4.0,8349
185,953,5.0,833
447,30810,3.0,9409
140,4022,3.5,3412
306,7319,1.0,5730
330,4034,3.0,3422
512,1101,2.5,954
524,3114,4.0,2665
297,91630,4.0,8570
67,902,3.5,783
488,708,1.5,637
155,21,5.0,20
327,317,2.0,301
353,750,3.0,669
5,303,3.0,287
440,47,4.5,45
420,61132,0.5,9110
88,69122,3.5,3031
23,1704,4.0,1460
397,1028,5.0,890
473,4902,4.0,4098
463,5989,5.0,4852
17,5266,3.5,4341
379,7163,4.0,5638
598,110102,3.0,6803
452,4022,5.0,3412
112,1282,4.0,1106
94,5418,5.0,4454
39,421,3.0,400
607,1923,3.5,1611
304,79251,4.0,7056
578,538,3.0,512
312,10,4.0,9
387,6550,3.5,5182
189,4896,5.0,4093
244,581,3.0,545
24,68954,5.0,2891
168,62,5.0,60
104,4306,4.0,3628
128,40815,4.0,6024
199,4963,4.0,4148
386,3444,2.5,2917
427,1597,2.5,1362
273,31685,3.5,9550
413,5218,3.0,4312
541,5991,4.5,4854
176,56757,3.5,8281
551,2501,3.5,2129
440,3254,5.0,2768
376,1200,4.5,1023
176,1644,2.5,1404
17,72998,4.0,5807
509,317,1.0,301
103,4447,4.0,3742
379,393,2.0,377
99,7149,3.5,5625
131,1562,1.5,1331
447,4040,3.0,3428
216,3430,2.0,2903
218,4901,4.0,4097
473,6201,5.0,4967
82,64983,4.0,9624
236,2571,4.0,2190
209,134130,4.5,2612
200,1035,4.0,897
452,2012,5.0,1698
